breakpoints,primitives,points
0,movej_fit,"[array([-0.58589046, -0.03341733,  0.40482559, -2.79157683, -1.61501501,
        0.95669868])]"
333,movel_fit,"[array([1090.09169268, -499.9005176 ,  994.02934547])]"
666,movel_fit,"[array([1089.99579498, -493.05815752,  994.0158178 ])]"
1000,movel_fit,"[array([1089.87327558, -486.19544676,  994.00598958])]"
1333,movel_fit,"[array([1089.72485347, -479.35345731,  993.9998169 ])]"
1666,movel_fit,"[array([1089.55018227, -472.51164168,  993.99712112])]"
2000,movel_fit,"[array([1089.3485966 , -465.64945538,  993.99772379])]"
2333,movel_fit,"[array([1089.12128449, -458.8081436 ,  994.00139415])]"
2666,movel_fit,"[array([1088.86770006, -451.96821798,  994.00785975])]"
3000,movel_fit,"[array([1088.58691141, -445.10814822,  994.01684143])]"
3333,movel_fit,"[array([1088.2806557 , -438.27056269,  994.02793047])]"
3666,movel_fit,"[array([1087.94808154, -431.43377065,  994.04075859])]"
4000,movel_fit,"[array([1087.58809772, -424.57764555,  994.05493497])]"
4333,movel_fit,"[array([1087.2029143 , -417.74379978,  994.06989762])]"
4666,movel_fit,"[array([1086.79152127, -410.91143646,  994.0851734 ])]"
5000,movel_fit,"[array([1086.35263196, -404.06010802,  994.10025336])]"
5333,movel_fit,"[array([1085.88897336, -397.23099421,  994.11445507])]"
5666,movel_fit,"[array([1085.39939777, -390.40368728,  994.12719821])]"
6000,movel_fit,"[array([1084.88248451, -383.55783201,  994.13785144])]"
6333,movel_fit,"[array([1084.34153207, -376.73450461,  994.14565935])]"
6666,movel_fit,"[array([1083.77525831, -369.91302694,  994.14994024])]"
7000,movel_fit,"[array([1083.18217252, -363.07327533,  994.14994589])]"
7333,movel_fit,"[array([1082.56619775, -356.25640734,  994.14491486])]"
7666,movel_fit,"[array([1081.92595409, -349.44131885,  994.13407955])]"
8000,movel_fit,"[array([1081.25999072, -342.60852828,  994.11659698])]"
8333,movel_fit,"[array([1080.57276018, -335.79791833,  994.09178432])]"
8666,movel_fit,"[array([1079.8630185 , -328.98970167,  994.05882474])]"
9000,movel_fit,"[array([1079.12935213, -322.16411565,  994.01682163])]"
9333,movel_fit,"[array([1078.37689138, -315.36102924,  993.96528211])]"
9666,movel_fit,"[array([1077.60447569, -308.56051197,  993.90339503])]"
10000,movel_fit,"[array([1076.81064026, -301.74108665,  993.83025545])]"
10333,movel_fit,"[array([1076.00152503, -294.94529054,  993.74571774])]"
10666,movel_fit,"[array([1075.17594938, -288.15144858,  993.64903483])]"
11000,movel_fit,"[array([1074.33277119, -281.33878601,  993.53940309])]"
11333,movel_fit,"[array([1073.478573  , -274.54758264,  993.41711347])]"
11666,movel_fit,"[array([1072.6129013, -267.7597995,  993.2816597])]"
12000,movel_fit,"[array([1071.73470804, -260.95256432,  993.13241099])]"
12333,movel_fit,"[array([1070.85135291, -254.16680839,  992.97028465])]"
12666,movel_fit,"[array([1069.96246046, -247.38208326,  992.79502801])]"
13000,movel_fit,"[array([1069.06774438, -240.57776349,  992.60639553])]"
13333,movel_fit,"[array([1068.17507993, -233.79382207,  992.40602213])]"
13666,movel_fit,"[array([1067.28459106, -227.00986155,  992.19408139])]"
14000,movel_fit,"[array([1066.39662198, -220.20548206,  991.97081714])]"
14333,movel_fit,"[array([1065.51963648, -213.42102604,  991.7387011 ])]"
14666,movel_fit,"[array([1064.65439193, -206.63642005,  991.49846099])]"
15000,movel_fit,"[array([1063.80150469, -199.82776053,  991.25081887])]"
15333,movel_fit,"[array([1062.97004808, -193.03709898,  990.99913649])]"
15666,movel_fit,"[array([1062.16151236, -186.24476803,  990.74477122])]"
16000,movel_fit,"[array([1061.37767595, -179.42965162,  990.4892228 ])]"
16333,movel_fit,"[array([1060.62734027, -172.63027025,  990.23644845])]"
16666,movel_fit,"[array([1059.9127971 , -165.8275522 ,  989.98844147])]"
17000,movel_fit,"[array([1059.23664063, -158.99975186,  989.74733848])]"
17333,movel_fit,"[array([1058.60778544, -152.18792247,  989.51764402])]"
17666,movel_fit,"[array([1058.02904956, -145.37103981,  989.30177213])]"
18000,movel_fit,"[array([1057.50401068, -138.52862045,  989.10240455])]"
18333,movel_fit,"[array([1057.04097665, -131.70199885,  988.92403196])]"
18666,movel_fit,"[array([1056.64341998, -124.87025853,  988.76927091])]"
19000,movel_fit,"[array([1056.31568156, -118.01392143,  988.6409632 ])]"
19333,movel_fit,"[array([1056.06489424, -111.17618285,  988.54290177])]"
19666,movel_fit,"[array([1055.89491774, -104.33768369,  988.47739089])]"
20000,movel_fit,"[array([1055.81037485,  -97.47782369,  988.44677477])]"
20333,movel_fit,"[array([1055.81633622,  -90.6376173 ,  988.45321674])]"
20666,movel_fit,"[array([1055.91673048,  -83.7964873 ,  988.49805613])]"
21000,movel_fit,"[array([1056.11629152,  -76.93479062,  988.58250118])]"
21333,movel_fit,"[array([1056.4172515 ,  -70.09764442,  988.70619816])]"
21666,movel_fit,"[array([1056.82293045,  -63.2668349 ,  988.86871078])]"
22000,movel_fit,"[array([1057.33730363,  -56.42395872,  989.06922328])]"
22333,movel_fit,"[array([1057.95894702,  -49.61163212,  989.3041841 ])]"
22666,movel_fit,"[array([1058.69018895,  -42.8111101 ,  989.57087666])]"
23000,movel_fit,"[array([1059.53382963,  -36.0045413 ,  989.86600269])]"
23333,movel_fit,"[array([1060.4843694 ,  -29.23334624,  990.18273294])]"
23666,movel_fit,"[array([1061.54277695,  -22.47902523,  990.51594036])]"
24000,movel_fit,"[array([1062.71055642,  -15.72279037,  990.859905  ])]"
24333,movel_fit,"[array([1063.97805228,   -9.00488124,  991.20515501])]"
24666,movel_fit,"[array([1065.34487026,   -2.30644664,  991.5446186 ])]"
25000,movel_fit,"[array([1066.81137712,    4.39291914,  991.87075386])]"
25333,movel_fit,"[array([1068.36360904,   11.05228069,  992.17269515])]"
25666,movel_fit,"[array([1070.00033487,   17.69273438,  992.44245545])]"
26000,movel_fit,"[array([1071.72066538,   24.33510898,  992.67163354])]"
26333,movel_fit,"[array([1073.50735368,   30.94011903,  992.84996471])]"
26666,movel_fit,"[array([1075.35804677,   37.52880046,  992.96971076])]"
